Animal,Breed,Age,Gender,Health Condition,Size,Color,Location,Training,Popularity,Price
Cat,Persian,8,Female,Vaccinated,Medium,Golden,Australia,Basic Training,Medium,210.0
Hamster,Campbell's,14,Male,Special Needs,Large,White,India,Basic Training,Low,62.5
Hamster,Roborovski,10,Female,Vaccinated,Medium,Grey,Canada,Highly Trained,High,240.5
Cat,Persian,5,Male,Sick,Small,Spotted,USA,Untrained,Low,87.5
Hamster,Chinese,4,Male,Special Needs,Small,Brown,Germany,Untrained,High,67.5
Rabbit,Holland Lop,9,Male,Healthy,Small,Black,USA,Basic Training,High,175.0
Rabbit,Mini Rex,11,Female,Special Needs,Medium,Spotted,Australia,Well Trained,Low,68.25
Dog,Beagle,8,Female,Sick,Large,Spotted,Canada,Basic Training,Low,196.0
Dog,Bulldog,12,Female,Special Needs,Small,White,Canada,Well Trained,High,234.0
Cat,Maine Coon,1,Female,Healthy,Medium,Spotted,USA,Basic Training,Low,125.0
Bird,Cockatiel,9,Male,Special Needs,Small,Mixed,USA,Highly Trained,Low,61.75
Cat,Siamese,7,Male,Special Needs,Small,Grey,UK,Well Trained,High,152.75
Dog,Labrador,15,Female,Special Needs,Small,White,Australia,Basic Training,Medium,162.5
Cat,Bengal,7,Male,Sick,Large,Spotted,Canada,Highly Trained,Medium,204.75
Dog,Poodle,4,Male,Sick,Small,Mixed,France,Well Trained,High,291.2
Cat,Bengal,10,Male,Healthy,Medium,Spotted,Canada,Highly Trained,Medium,286.0
Bird,Canary,7,Male,Special Needs,Small,Spotted,USA,Untrained,Low,42.5
Dog,Poodle,2,Male,Vaccinated,Medium,White,India,Highly Trained,Low,299.0
Bird,Canary,12,Female,Sick,Medium,Grey,Germany,Well Trained,High,209.3
Rabbit,Flemish Giant,11,Male,Special Needs,Medium,Golden,UK,Basic Training,Medium,77.5
Rabbit,Holland Lop,3,Male,Special Needs,Medium,White,UK,Highly Trained,Low,42.25
Bird,Cockatiel,8,Male,Healthy,Medium,Grey,India,Highly Trained,Low,143.0
Cat,Sphynx,7,Male,Healthy,Small,Mixed,USA,Untrained,Low,135.0
Bird,Canary,1,Male,Special Needs,Large,Grey,France,Basic Training,Low,47.5
Rabbit,Flemish Giant,5,Male,Sick,Medium,Spotted,France,Well Trained,Medium,113.75
Dog,Bulldog,13,Male,Sick,Medium,Brown,India,Well Trained,High,350.35
Dog,Bulldog,15,Male,Healthy,Medium,Mixed,USA,Well Trained,Low,383.5
Dog,Labrador,2,Female,Special Needs,Medium,Grey,Canada,Untrained,High,165.0
Bird,Finch,8,Male,Sick,Large,Spotted,India,Well Trained,Medium,163.8
Hamster,Dwarf,15,Female,Sick,Medium,Brown,Canada,Highly Trained,Low,100.1
Rabbit,Flemish Giant,14,Male,Special Needs,Large,Mixed,UK,Well Trained,High,156.0
Hamster,Chinese,14,Female,Vaccinated,Large,Mixed,UK,Untrained,Medium,175.0
Cat,Bengal,11,Female,Vaccinated,Large,Spotted,Germany,Untrained,High,295.0
Rabbit,Mini Rex,4,Male,Special Needs,Medium,Grey,Germany,Untrained,Medium,60.0
Rabbit,Angora,12,Male,Sick,Small,Grey,Australia,Highly Trained,Low,81.9
Rabbit,Mini Rex,12,Male,Vaccinated,Medium,Golden,India,Untrained,Medium,160.0
Hamster,Roborovski,1,Female,Vaccinated,Small,White,France,Untrained,Low,20.0
Rabbit,Angora,14,Female,Sick,Small,Brown,Australia,Basic Training,Low,70.0
Dog,Labrador,1,Female,Vaccinated,Small,Golden,Germany,Untrained,Medium,255.0
Rabbit,Flemish Giant,6,Female,Special Needs,Medium,Golden,India,Highly Trained,High,117.0
Cat,Maine Coon,9,Female,Special Needs,Large,White,Australia,Well Trained,Low,120.25
Rabbit,Angora,10,Male,Special Needs,Medium,Golden,Australia,Untrained,Low,50.0
Hamster,Syrian,14,Male,Healthy,Medium,Black,India,Well Trained,High,266.5
Bird,Canary,9,Female,Special Needs,Medium,Mixed,France,Untrained,Medium,82.5
Cat,Sphynx,7,Female,Sick,Large,White,UK,Untrained,Medium,157.5
Dog,Poodle,6,Male,Healthy,Small,White,USA,Untrained,Medium,280.0
Cat,Persian,5,Male,Vaccinated,Large,Black,France,Well Trained,High,344.5
Rabbit,Angora,2,Male,Special Needs,Large,Black,Australia,Highly Trained,Medium,84.5
Cat,Bengal,7,Male,Sick,Large,Spotted,Germany,Highly Trained,Medium,204.75
Hamster,Syrian,13,Male,Sick,Large,Grey,USA,Well Trained,Medium,154.7
Dog,Bulldog,8,Male,Special Needs,Medium,Brown,USA,Highly Trained,Medium,201.5
Cat,Maine Coon,7,Female,Sick,Large,Golden,Germany,Basic Training,Low,122.5
Cat,Maine Coon,9,Female,Special Needs,Large,Black,Canada,Well Trained,Medium,152.75
Bird,Canary,12,Male,Sick,Medium,Golden,India,Basic Training,Low,91.0
Cat,Siamese,8,Female,Special Needs,Medium,Spotted,Germany,Basic Training,Medium,105.0
Dog,Beagle,4,Male,Special Needs,Medium,White,UK,Untrained,Medium,145.0
Bird,Macaw,2,Male,Healthy,Large,White,France,Untrained,Low,100.0
Dog,Beagle,10,Male,Sick,Medium,Brown,Germany,Untrained,Medium,224.0
Cat,Bengal,6,Male,Healthy,Medium,Golden,Germany,Basic Training,Medium,200.0
Dog,Bulldog,11,Male,Special Needs,Small,Grey,Australia,Untrained,Low,127.5
Dog,Beagle,1,Female,Special Needs,Large,Golden,USA,Basic Training,Low,122.5
Rabbit,Netherland Dwarf,11,Male,Healthy,Large,Mixed,India,Highly Trained,Low,162.5
Bird,Finch,11,Male,Healthy,Medium,Spotted,Canada,Highly Trained,Low,162.5
Dog,Bulldog,11,Male,Sick,Large,Mixed,USA,Basic Training,Medium,241.5
Dog,Poodle,8,Female,Special Needs,Large,Black,UK,Well Trained,Medium,214.5
Cat,Bengal,10,Female,Vaccinated,Medium,Mixed,UK,Well Trained,High,351.0
Dog,Poodle,12,Male,Sick,Small,Grey,USA,Well Trained,Medium,282.1
Dog,Beagle,3,Male,Healthy,Large,White,India,Untrained,Low,255.0
Cat,Siamese,15,Male,Healthy,Small,Mixed,France,Well Trained,Medium,292.5
Rabbit,Mini Rex,4,Female,Special Needs,Medium,Golden,Canada,Well Trained,Medium,78.0
Bird,Finch,13,Female,Healthy,Large,Grey,Germany,Untrained,Low,155.0
Rabbit,Flemish Giant,2,Male,Vaccinated,Medium,Black,Australia,Well Trained,Medium,143.0
Dog,Beagle,9,Male,Special Needs,Medium,Spotted,UK,Highly Trained,Low,172.25
Rabbit,Mini Rex,11,Male,Vaccinated,Small,Black,UK,Highly Trained,High,240.5
Bird,Parrot,8,Male,Healthy,Large,White,Canada,Well Trained,High,299.0
Hamster,Dwarf,2,Female,Healthy,Small,Golden,Australia,Highly Trained,High,162.5
Dog,Labrador,15,Male,Vaccinated,Small,Mixed,UK,Untrained,Medium,325.0
Dog,Beagle,14,Female,Sick,Small,Golden,Australia,Well Trained,Low,245.7
Rabbit,Netherland Dwarf,10,Male,Healthy,Large,Brown,UK,Untrained,Low,120.0
Hamster,Campbell's,4,Female,Sick,Medium,Black,France,Basic Training,High,108.5
Rabbit,Angora,12,Female,Healthy,Large,White,India,Well Trained,Medium,234.0
Hamster,Chinese,8,Female,Special Needs,Large,Mixed,USA,Basic Training,Low,47.5
Cat,Siamese,12,Female,Special Needs,Large,Mixed,Germany,Untrained,Medium,125.0
Bird,Macaw,11,Male,Sick,Small,Black,France,Untrained,High,143.5
Cat,Bengal,15,Male,Healthy,Small,Brown,UK,Untrained,Medium,225.0
Cat,Persian,7,Female,Healthy,Medium,White,Canada,Highly Trained,Low,201.5
Cat,Maine Coon,9,Male,Healthy,Medium,Brown,Canada,Highly Trained,Medium,279.5
Rabbit,Netherland Dwarf,12,Male,Sick,Large,Black,Germany,Highly Trained,High,209.3
Rabbit,Holland Lop,9,Female,Healthy,Large,Black,Australia,Untrained,Medium,165.0
Cat,Sphynx,11,Female,Healthy,Medium,Spotted,Germany,Basic Training,Low,175.0
Cat,Maine Coon,15,Female,Special Needs,Large,Brown,USA,Basic Training,Medium,132.5
Bird,Cockatiel,1,Male,Healthy,Small,White,France,Basic Training,Low,55.0
Dog,Poodle,4,Female,Healthy,Medium,White,Australia,Untrained,Low,240.0
Dog,Golden Retriever,6,Female,Sick,Large,Black,India,Untrained,Low,189.0
Dog,Labrador,8,Female,Special Needs,Small,Grey,India,Highly Trained,Low,156.0
Cat,Sphynx,7,Male,Special Needs,Large,Black,India,Highly Trained,High,178.75
Bird,Finch,14,Female,Healthy,Small,Brown,UK,Highly Trained,High,286.0
Dog,Bulldog,10,Male,Healthy,Large,Spotted,France,Highly Trained,Medium,442.0
Bird,Parrot,10,Female,Healthy,Large,Grey,USA,Well Trained,Medium,247.0
Bird,Finch,9,Male,Special Needs,Large,Mixed,UK,Untrained,Low,67.5
Cat,Bengal,14,Female,Special Needs,Medium,Spotted,UK,Untrained,Medium,120.0
Cat,Bengal,10,Male,Healthy,Small,Black,Germany,Well Trained,High,325.0
Rabbit,Holland Lop,8,Female,Vaccinated,Large,Mixed,Canada,Well Trained,Low,143.0
Bird,Parrot,12,Male,Sick,Small,White,France,Highly Trained,High,191.1
Cat,Persian,10,Female,Healthy,Large,Black,France,Well Trained,Low,247.0
Rabbit,Netherland Dwarf,15,Male,Vaccinated,Small,Black,France,Untrained,High,205.0
Bird,Parrot,7,Female,Sick,Small,White,UK,Basic Training,Medium,94.5
Bird,Finch,14,Male,Special Needs,Large,Golden,France,Highly Trained,High,169.0
Cat,Sphynx,15,Female,Special Needs,Large,White,Australia,Highly Trained,Low,139.75
Dog,Beagle,1,Female,Healthy,Medium,Brown,Australia,Basic Training,Low,225.0
Hamster,Roborovski,2,Male,Vaccinated,Medium,Brown,USA,Highly Trained,Medium,123.5
Hamster,Campbell's,4,Female,Sick,Medium,Brown,Canada,Untrained,Medium,73.5
Bird,Macaw,10,Male,Special Needs,Large,Spotted,Canada,Well Trained,Medium,123.5
Bird,Canary,14,Female,Sick,Medium,Mixed,Canada,Highly Trained,Low,127.4
Cat,Siamese,5,Male,Special Needs,Small,White,UK,Basic Training,Low,62.5
Rabbit,Mini Rex,6,Male,Healthy,Small,Golden,India,Basic Training,High,160.0
Bird,Cockatiel,5,Female,Sick,Large,Grey,Canada,Basic Training,Low,80.5
Hamster,Chinese,10,Male,Healthy,Medium,Grey,India,Untrained,Medium,135.0
Dog,Labrador,14,Male,Special Needs,Small,Golden,France,Untrained,High,185.0
Hamster,Syrian,13,Male,Vaccinated,Medium,Golden,India,Basic Training,Medium,150.0
Dog,Poodle,9,Male,Vaccinated,Large,Brown,Australia,Well Trained,High,500.5
Cat,Maine Coon,2,Female,Healthy,Medium,Spotted,Australia,Highly Trained,Medium,234.0
Bird,Parrot,10,Male,Vaccinated,Medium,Mixed,Germany,Untrained,Low,120.0
Cat,Maine Coon,7,Male,Vaccinated,Small,Golden,India,Untrained,Low,135.0
Bird,Cockatiel,8,Male,Sick,Large,Spotted,India,Untrained,Medium,126.0
Cat,Persian,11,Female,Vaccinated,Large,Grey,Canada,Basic Training,High,295.0
Bird,Cockatiel,14,Male,Vaccinated,Large,Black,France,Well Trained,Low,208.0
Hamster,Syrian,12,Female,Vaccinated,Large,Mixed,India,Untrained,Medium,165.0
Rabbit,Mini Rex,5,Female,Sick,Medium,Grey,France,Highly Trained,High,159.25
Hamster,Dwarf,5,Male,Healthy,Large,Black,USA,Highly Trained,Low,104.0
Bird,Finch,15,Female,Sick,Large,Golden,UK,Well Trained,High,241.15
Dog,Bulldog,9,Female,Healthy,Small,Mixed,India,Untrained,Low,245.0
Rabbit,Angora,2,Male,Special Needs,Medium,Brown,USA,Well Trained,High,104.0
Hamster,Campbell's,10,Female,Healthy,Medium,Golden,USA,Untrained,High,185.0
Cat,Siamese,9,Male,Sick,Large,Black,India,Basic Training,Medium,164.5
Bird,Parrot,12,Female,Healthy,Large,Mixed,India,Untrained,High,250.0
Bird,Canary,2,Male,Vaccinated,Medium,Grey,Canada,Basic Training,High,180.0
Dog,Bulldog,15,Female,Healthy,Small,Golden,Germany,Highly Trained,High,487.5
Rabbit,Holland Lop,2,Male,Special Needs,Small,Golden,Australia,Well Trained,High,91.0
Bird,Cockatiel,12,Female,Healthy,Small,Brown,Canada,Basic Training,Medium,160.0
Rabbit,Angora,10,Male,Special Needs,Medium,Spotted,USA,Well Trained,Low,65.0
Rabbit,Netherland Dwarf,1,Male,Special Needs,Medium,Spotted,France,Basic Training,Medium,52.5
Dog,Golden Retriever,5,Female,Vaccinated,Small,Brown,France,Well Trained,High,422.5
Rabbit,Angora,7,Female,Sick,Small,Mixed,Canada,Untrained,Medium,80.5
Rabbit,Mini Rex,13,Female,Special Needs,Medium,Mixed,UK,Highly Trained,High,139.75
Bird,Parrot,13,Female,Sick,Large,White,India,Highly Trained,High,232.05
Hamster,Dwarf,6,Female,Special Needs,Large,Grey,India,Well Trained,High,120.25
Dog,Beagle,3,Male,Special Needs,Medium,Black,Australia,Basic Training,High,167.5
Hamster,Syrian,14,Female,Healthy,Medium,Mixed,Germany,Highly Trained,Medium,201.5
Dog,Labrador,4,Female,Healthy,Small,Mixed,USA,Well Trained,Medium,351.0
Dog,Poodle,5,Female,Healthy,Small,White,USA,Basic Training,Low,225.0
Bird,Parrot,3,Male,Healthy,Small,Golden,USA,Well Trained,Medium,149.5
Cat,Persian,15,Female,Healthy,Large,Golden,UK,Highly Trained,Medium,344.5
Bird,Macaw,5,Male,Special Needs,Medium,Spotted,India,Well Trained,High,126.75
Hamster,Syrian,9,Male,Sick,Small,Black,Canada,Untrained,Low,42.0
Hamster,Roborovski,1,Male,Special Needs,Small,Golden,Australia,Well Trained,High,78.0
Dog,Golden Retriever,9,Male,Sick,Medium,Golden,Australia,Highly Trained,Medium,286.65
Dog,Labrador,13,Male,Sick,Medium,Brown,India,Untrained,High,269.5
Hamster,Roborovski,2,Male,Healthy,Medium,Brown,UK,Basic Training,Low,45.0
Cat,Maine Coon,5,Male,Sick,Small,Mixed,UK,Basic Training,Medium,122.5
Rabbit,Angora,2,Male,Vaccinated,Medium,Brown,UK,Basic Training,High,160.0
Hamster,Roborovski,15,Female,Sick,Medium,Mixed,Canada,Well Trained,High,191.1
Rabbit,Netherland Dwarf,14,Male,Sick,Medium,Spotted,USA,Untrained,High,154.0
Dog,Poodle,8,Male,Special Needs,Large,Golden,Canada,Highly Trained,Low,182.0
Hamster,Campbell's,5,Male,Special Needs,Small,Black,UK,Untrained,High,70.0
Hamster,Dwarf,7,Male,Healthy,Medium,White,Australia,Untrained,High,170.0
Dog,Labrador,3,Female,Special Needs,Medium,Golden,Australia,Untrained,Medium,142.5
Rabbit,Holland Lop,13,Male,Special Needs,Large,White,UK,Well Trained,Medium,120.25
Rabbit,Holland Lop,3,Female,Vaccinated,Small,Mixed,India,Highly Trained,Low,58.5
Bird,Finch,2,Female,Vaccinated,Large,Spotted,Canada,Well Trained,High,260.0
Hamster,Dwarf,11,Male,Sick,Large,Brown,Canada,Basic Training,High,147.0
Dog,Bulldog,1,Female,Vaccinated,Large,Black,USA,Untrained,Medium,295.0
Rabbit,Netherland Dwarf,12,Male,Sick,Medium,White,USA,Basic Training,Low,77.0
Cat,Sphynx,15,Female,Sick,Small,Grey,UK,Untrained,High,192.5
Dog,Bulldog,7,Female,Healthy,Small,Black,Germany,Highly Trained,Low,305.5
Cat,Sphynx,15,Male,Sick,Large,White,India,Well Trained,High,286.65
Cat,Sphynx,6,Female,Vaccinated,Small,White,USA,Untrained,Low,130.0
Bird,Finch,10,Male,Healthy,Small,Mixed,UK,Well Trained,Medium,195.0
Bird,Macaw,13,Female,Healthy,Medium,Spotted,India,Untrained,Low,135.0
Hamster,Campbell's,3,Female,Sick,Large,White,USA,Well Trained,High,154.7
Bird,Cockatiel,3,Male,Vaccinated,Small,White,USA,Untrained,High,165.0
Dog,Labrador,2,Female,Special Needs,Medium,Golden,India,Highly Trained,Low,149.5
Dog,Golden Retriever,3,Female,Healthy,Small,Mixed,Germany,Highly Trained,Low,279.5
Cat,Persian,2,Female,Sick,Small,Mixed,India,Untrained,Low,77.0
Dog,Labrador,1,Male,Sick,Small,Grey,India,Basic Training,High,213.5
Rabbit,Flemish Giant,10,Male,Healthy,Large,Grey,Australia,Untrained,High,220.0
Dog,Golden Retriever,4,Female,Special Needs,Small,Mixed,France,Highly Trained,Medium,175.5
Hamster,Syrian,3,Female,Healthy,Medium,Black,UK,Highly Trained,Low,65.0
Rabbit,Angora,15,Male,Special Needs,Medium,White,France,Untrained,Medium,87.5
Rabbit,Flemish Giant,14,Male,Healthy,Large,Mixed,India,Highly Trained,Medium,247.0
Bird,Parrot,6,Female,Sick,Small,Golden,UK,Basic Training,Medium,91.0
Cat,Persian,13,Male,Healthy,Small,Spotted,Canada,Well Trained,Medium,279.5
Cat,Bengal,11,Female,Sick,Medium,Grey,Germany,Untrained,High,192.5
Rabbit,Mini Rex,11,Female,Sick,Medium,Mixed,Australia,Untrained,High,143.5
Bird,Parrot,13,Female,Healthy,Large,Brown,USA,Well Trained,High,331.5
Rabbit,Angora,8,Male,Healthy,Large,Grey,USA,Untrained,Low,110.0
Dog,Beagle,14,Male,Vaccinated,Large,Black,India,Basic Training,Low,310.0
Rabbit,Mini Rex,4,Female,Vaccinated,Medium,Black,Canada,Highly Trained,High,221.0
Bird,Finch,13,Female,Healthy,Large,White,India,Basic Training,Medium,205.0
Bird,Parrot,7,Female,Healthy,Medium,White,Australia,Highly Trained,Medium,201.5
Hamster,Syrian,2,Male,Vaccinated,Small,Spotted,France,Well Trained,High,162.5
Hamster,Syrian,15,Female,Sick,Medium,Black,Australia,Untrained,Medium,112.0
Hamster,Dwarf,5,Male,Healthy,Small,Golden,Germany,Basic Training,High,140.0
Dog,Golden Retriever,15,Male,Healthy,Large,Mixed,Australia,Untrained,High,415.0
Dog,Poodle,3,Male,Vaccinated,Medium,Grey,France,Well Trained,High,435.5
Dog,Labrador,9,Female,Special Needs,Large,Golden,Canada,Basic Training,Medium,167.5
Bird,Canary,8,Male,Sick,Medium,White,UK,Well Trained,Medium,145.6
Rabbit,Holland Lop,13,Female,Special Needs,Small,Brown,USA,Untrained,Low,47.5
Rabbit,Angora,10,Female,Healthy,Large,Spotted,UK,Well Trained,Low,156.0
Cat,Bengal,6,Male,Healthy,Medium,Black,UK,Basic Training,High,250.0
Bird,Parrot,3,Male,Special Needs,Large,Spotted,USA,Basic Training,Medium,77.5
Bird,Parrot,14,Male,Vaccinated,Large,Brown,Australia,Basic Training,Low,160.0
Hamster,Chinese,13,Male,Vaccinated,Large,Brown,Australia,Untrained,High,220.0
Rabbit,Angora,15,Female,Special Needs,Medium,Spotted,Canada,Well Trained,Medium,113.75
Dog,Bulldog,15,Female,Sick,Small,Black,Germany,Highly Trained,Medium,295.75
Cat,Siamese,8,Female,Special Needs,Medium,White,Australia,Untrained,High,130.0
Hamster,Roborovski,10,Male,Sick,Large,Black,France,Untrained,Low,73.5
Bird,Parrot,6,Male,Vaccinated,Large,Golden,Germany,Well Trained,High,286.0
Rabbit,Holland Lop,15,Male,Sick,Small,Golden,USA,Untrained,Low,73.5
Hamster,Chinese,4,Female,Healthy,Large,Spotted,UK,Well Trained,Medium,162.5
Bird,Macaw,15,Male,Special Needs,Large,Spotted,Canada,Highly Trained,High,172.25
Rabbit,Angora,13,Female,Healthy,Medium,Brown,Germany,Basic Training,High,215.0
Cat,Maine Coon,8,Male,Sick,Small,Brown,France,Well Trained,High,218.4
Hamster,Chinese,13,Female,Sick,Medium,Grey,Germany,Well Trained,Low,91.0
Hamster,Dwarf,10,Female,Sick,Small,Brown,Australia,Well Trained,Medium,104.65
Hamster,Dwarf,8,Male,Special Needs,Small,Mixed,France,Basic Training,Low,27.5
Hamster,Dwarf,14,Female,Sick,Small,Spotted,India,Untrained,Medium,94.5
Cat,Maine Coon,4,Male,Special Needs,Medium,Grey,France,Basic Training,High,120.0
Rabbit,Flemish Giant,1,Female,Vaccinated,Medium,White,Australia,Well Trained,High,201.5
Rabbit,Netherland Dwarf,4,Male,Special Needs,Small,Black,USA,Well Trained,High,97.5
Rabbit,Netherland Dwarf,1,Male,Sick,Small,Black,Australia,Highly Trained,High,122.85
Rabbit,Flemish Giant,1,Male,Vaccinated,Large,Spotted,France,Highly Trained,High,227.5
Bird,Cockatiel,15,Male,Vaccinated,Medium,Brown,Germany,Untrained,High,245.0
Dog,Golden Retriever,13,Female,Sick,Medium,Brown,Australia,Untrained,High,269.5
Dog,Poodle,13,Male,Sick,Medium,Golden,India,Well Trained,Low,259.35
Dog,Golden Retriever,12,Male,Healthy,Large,Golden,Australia,Well Trained,High,520.0
Rabbit,Holland Lop,2,Female,Vaccinated,Medium,Golden,Germany,Well Trained,Low,78.0
Dog,Poodle,9,Male,Vaccinated,Small,Brown,India,Highly Trained,Low,318.5
Bird,Parrot,4,Female,Vaccinated,Small,Black,Canada,Highly Trained,Medium,156.0
Hamster,Syrian,7,Female,Vaccinated,Medium,Mixed,UK,Untrained,Medium,120.0
Rabbit,Angora,15,Male,Vaccinated,Small,Brown,France,Well Trained,High,266.5
Cat,Persian,5,Female,Special Needs,Small,Mixed,USA,Well Trained,Low,81.25
Hamster,Campbell's,4,Male,Special Needs,Large,White,Canada,Highly Trained,High,113.75
Dog,Bulldog,8,Female,Sick,Small,Spotted,France,Highly Trained,High,309.4
Hamster,Dwarf,12,Male,Healthy,Large,Brown,Germany,Basic Training,Low,115.0
Hamster,Dwarf,14,Female,Vaccinated,Medium,White,India,Highly Trained,Low,136.5
Dog,Beagle,8,Female,Special Needs,Medium,Golden,Germany,Basic Training,Medium,155.0
Rabbit,Angora,5,Male,Vaccinated,Small,Golden,France,Basic Training,Medium,105.0
Bird,Macaw,8,Male,Vaccinated,Medium,Golden,USA,Untrained,Low,110.0
Cat,Bengal,3,Male,Healthy,Large,Black,India,Well Trained,Medium,266.5
Bird,Canary,2,Male,Healthy,Large,Spotted,Germany,Highly Trained,High,260.0
Hamster,Campbell's,14,Female,Vaccinated,Large,Golden,Australia,Basic Training,Medium,175.0
Rabbit,Netherland Dwarf,3,Female,Vaccinated,Medium,Mixed,India,Untrained,High,165.0
Rabbit,Holland Lop,13,Male,Healthy,Medium,Black,USA,Well Trained,Low,149.5
Cat,Persian,1,Male,Vaccinated,Small,Brown,Canada,Basic Training,Low,105.0
Dog,Bulldog,1,Female,Sick,Large,Grey,UK,Well Trained,Medium,268.45
Dog,Bulldog,7,Male,Healthy,Medium,Grey,Germany,Highly Trained,Low,331.5
Bird,Cockatiel,6,Male,Healthy,Medium,Brown,India,Untrained,Low,100.0
Dog,Beagle,8,Female,Special Needs,Small,Black,Canada,Highly Trained,Low,156.0
Hamster,Syrian,12,Male,Healthy,Small,Grey,Germany,Basic Training,Medium,125.0
Dog,Bulldog,15,Female,Vaccinated,Small,Grey,USA,Basic Training,Low,275.0
Dog,Bulldog,5,Male,Vaccinated,Large,Black,UK,Highly Trained,Medium,409.5
Dog,Beagle,2,Male,Special Needs,Large,Grey,UK,Well Trained,Low,162.5
Bird,Canary,1,Female,Sick,Small,Grey,India,Basic Training,Low,38.5
Dog,Bulldog,2,Male,Sick,Medium,Brown,Australia,Well Trained,High,300.3
Rabbit,Holland Lop,9,Male,Healthy,Medium,Mixed,UK,Highly Trained,Medium,188.5
Bird,Parrot,4,Male,Sick,Medium,Mixed,Canada,Well Trained,Low,81.9
Hamster,Campbell's,5,Female,Vaccinated,Medium,Spotted,Germany,Untrained,Medium,110.0
Cat,Bengal,3,Female,Special Needs,Medium,White,India,Untrained,Low,67.5
Rabbit,Flemish Giant,6,Male,Healthy,Small,Spotted,UK,Untrained,Low,60.0
Cat,Maine Coon,10,Female,Special Needs,Medium,White,USA,Basic Training,Low,85.0
Rabbit,Netherland Dwarf,6,Male,Healthy,Large,Grey,Australia,Basic Training,Low,100.0
Cat,Persian,3,Male,Sick,Small,Mixed,Germany,Basic Training,High,150.5
